qid,wiki_id,name,description,url
Q180615,497604,Dolby Theatre,"The Dolby Theatre (formerly known as the Kodak Theatre) is a live-performance auditorium in the Hollywood and Highland Center shopping mall and entertainment complex, on Hollywood Boulevard and Highland Avenue, in the Hollywood district of Los Angeles.",https://en.wikipedia.org/wiki/Dolby_Theatre
Q261288,450085,Dolby Laboratories,"Dolby Laboratories, Inc. (often shortened to Dolby Labs and known simply as Dolby) is an American company specializing in audio noise reduction and audio encoding/compression.",https://en.wikipedia.org/wiki/Dolby_Laboratories
Q5119320,12357344,Craig Zadan,"Craig Zadan (April 15, 1949 – August 20, 2018) was an American producer and writer.",https://en.wikipedia.org/wiki/Craig_Zadan
Q458209,21870751,Serhiy Zhadan,"Serhiy Viktorovych Zhadan (Ukrainian: Сергі́й Ві́кторович Жада́н; born 23 August 1974) is a Ukrainian poet, novelist, essayist, and translator.",https://en.wikipedia.org/wiki/Serhiy_Zhadan
Q222041,4265347,Hairspray (2007 film),"Hairspray is a 2007 musical romantic comedy film based on the 2002 Broadway musical of the same name, which in turn was based on John Waters's 1988 comedy film of the same name.",https://en.wikipedia.org/wiki/Hairspray_(2007_film)
Q321285,97574,Coenzyme Q10,"Coenzyme Q, also known as ubiquinone, is a coenzyme family that is ubiquitous in animals and most bacteria (hence the name ubiquinone).",https://en.wikipedia.org/wiki/Coenzyme_Q10
Q879989,33451925,BlackBerry 10,"BlackBerry 10 is a proprietary mobile operating system for the BlackBerry line of smartphones, both developed by BlackBerry Limited (formerly Research In Motion).",https://en.wikipedia.org/wiki/BlackBerry_10
Q1647694,400414,USB flash drive,A USB flash drive is a data storage device that includes flash memory with an integrated USB interface.,https://en.wikipedia.org/wiki/USB_flash_drive
Q41796309,57218370,USB hardware,"This article provides information about the physical aspects of Universal Serial Bus, USB: connectors, cabling, and power.",https://en.wikipedia.org/wiki/USB_hardware
Q850360,472507,Betty Ford Center,"The Betty Ford Center (BFC) is a non-profit, residential treatment center for persons with substance dependence in Rancho Mirage, California.",https://en.wikipedia.org/wiki/Betty_Ford_Center
Q213122,290192,Betty Ford,"Elizabeth Anne Ford (née Bloomer; formerly Warren; April 8, 1918 – July 8, 2011) was the First Lady of the United States from 1974 to 1977, as the wife of President Gerald Ford.",https://en.wikipedia.org/wiki/Betty_Ford
Q7647840,7172022,Susan Ford,"Susan Elizabeth Ford Bales (born July 6, 1957) is an American author, photojournalist, and former chair of the board of the Betty Ford Center for alcohol and drug abuse.",https://en.wikipedia.org/wiki/Susan_Ford
Q162633,149170,Academy,"An academy (Attic Greek: Ἀκαδήμεια; Koine Greek Ἀκαδημία) is an institution of secondary or tertiary higher learning, research, or honorary membership.",https://en.wikipedia.org/wiki/Academy
Q212329,39842,Academy of Motion Picture Arts and Sciences,"The Academy of Motion Picture Arts and Sciences (AMPAS, often pronounced ; also known as simply the Academy or the Motion Picture Academy) is a professional honorary organization with the stated goal of advancing the arts and sciences of motion pictures.",https://en.wikipedia.org/wiki/Academy_of_Motion_Picture_Arts_and_Sciences
Q1138018,1981076,The Academy Is...,"The Academy Is... was an American rock band from Chicago, Illinois, formed in 2003.",https://en.wikipedia.org/wiki/The_Academy_Is...
Q4781618,14370620,Apply,"In mathematics and computer science, apply is a function that applies a function to arguments.",https://en.wikipedia.org/wiki/Apply
Q44903,8490390,Lindsay Lohan,"Lindsay Dee Lohan (; born July 2, 1986) is an American actress, singer, songwriter, entrepreneur, and television personality.",https://en.wikipedia.org/wiki/Lindsay_Lohan
Q234456,964638,Lindsay Wagner,"Lindsay Jean Wagner (born June 22, 1949) is an American film and television actress, model, author, singer, acting coach, and former adjunct professor.",https://en.wikipedia.org/wiki/Lindsay_Wagner
Q7153868,3471379,Paul Sun-Hyung Lee,"Paul Sun-Hyung Lee (born August 16, 1972) is a Korean Canadian actor and television host.",https://en.wikipedia.org/wiki/Paul_Sun-Hyung_Lee
Q7151996,33842773,Paul Lee (basketball),"Paul John Dalistan Lee (born February 14, 1989) is a Filipino professional basketball player for the Magnolia Hotshots of the Philippine Basketball Association (PBA).",https://en.wikipedia.org/wiki/Paul_Lee_(basketball)
Q6551989,1552352,Kunchan Nambiar,"Kalakkathu Kunchan Nambiar (Malayalam: കുഞ്ചൻ നമ്പ്യാർ, romanized: kuñcan Nambiār) was an early Malayalam poet, performer, satirist and the inventor of local art form of Ottamthullal.",https://en.wikipedia.org/wiki/Kunchan_Nambiar
Q4881554,32286496,Bejoy Nambiar,"Bejoy Nambiar (born 12 April 1979) is an Indian film director, and screenwriter known for his work in Bollywood.",https://en.wikipedia.org/wiki/Bejoy_Nambiar
Q3273787,23738156,Mark Duplass,"Mark David Duplass (born December 7, 1976) is an American filmmaker, actor, writer, and musician.",https://en.wikipedia.org/wiki/Mark_Duplass
Q1934158,3709488,Back from Hell,"Back from Hell is the fifth album by hip hop group Run–D.M.C., released on October 16, 1990 by Profile Records.",https://en.wikipedia.org/wiki/Back_from_Hell
Q5972699,2684561,INS Sukanya (P50),INS Sukanya is the lead vessel of the Sukanya-class patrol vessels of the Indian Navy.,https://en.wikipedia.org/wiki/INS_Sukanya_(P50)
Q3252688,7316550,List of active Indian Navy ships,List of active Indian Navy ships is a list of ships in active service with the Indian Navy.,https://en.wikipedia.org/wiki/List_of_active_Indian_Navy_ships
Q5972698,23963098,INS Sujata (P56),INS Sujata (P56) is a Sukanya class patrol vessel of the Indian Navy.,https://en.wikipedia.org/wiki/INS_Sujata_(P56)
Q55609284,57516452,"Defence PRO, Thiruvananthapuram","The Ministry of Defense Public Relations Unit (PRO) in Thiruvananthapuram is the official agency under the Ministry of Defense entrusted to communicate and disseminate information about various programs, policies and activities of the Armed Forces and other organisations of the Ministry of Defense.","https://en.wikipedia.org/wiki/Defence_PRO,_Thiruvananthapuram"
Q2743363,204278,Apologia Pro Vita Sua,"Apologia Pro Vita Sua (Latin: A defence of one's own life) is John Henry Newman's defence of his religious opinions, published in 1864 in response to Charles Kingsley of the Church of England after Newman quit his position as the Anglican vicar of St. Mary's, Oxford.",https://en.wikipedia.org/wiki/Apologia_Pro_Vita_Sua
Q8059192,36195220,Youth Defence,Youth Defence is an Irish organisation that opposes legalisation of abortion.,https://en.wikipedia.org/wiki/Youth_Defence
Q745818,24973,Prime time,The prime time or the peak time is the block of broadcast programming taking place during the middle of the evening for a television show.,https://en.wikipedia.org/wiki/Prime_time
Q447661,1870317,Bam Bam Bigelow,"Scott Charles Bigelow (September 1, 1961 – January 19, 2007) was an American professional wrestler, better known by the ring name  Bam Bam Bigelow.",https://en.wikipedia.org/wiki/Bam_Bam_Bigelow
Q297173,530567,Bam Margera,"Brandon Cole ""Bam"" Margera ( mar-JAIR-ə; born September 28, 1979) is an American skateboarder, stunt performer, television personality, and filmmaker.",https://en.wikipedia.org/wiki/Bam_Margera
Q85851636,62017987,Personal life of Lindsay Lohan,American actress and singer Lindsay Lohan has led a high-profile life since her youth as a child model and actress.,https://en.wikipedia.org/wiki/Personal_life_of_Lindsay_Lohan
Q488192,15183570,MacBook Air,The MacBook Air is a line of laptop computers developed and manufactured by Apple Inc.,https://en.wikipedia.org/wiki/MacBook_Air
Q3065317,15295713,MacBook,The MacBook is a brand of Macintosh laptop computers designed and marketed by Apple Inc. that use Apple's macOS operating system since 2006.,https://en.wikipedia.org/wiki/MacBook
Q102127904,65885677,MacBook Air (M1),"The MacBook Air with the M1 processor is the late 2020 model of Apple's MacBook Air and, along with the late 2020 models of the Mac Mini and MacBook Pro, the first Apple consumer computers to ship with Apple Silicon.",https://en.wikipedia.org/wiki/MacBook_Air_(M1)
Q5554904,37914143,Gevarzin,"Gevarzin (Persian: گورزين‎, also Romanized as Gevarzīn; also known as Kavarzīn, Kavazrīn, Kovardīn, Kūrdīn, Kuvadin, and Kuvardīn) is a village in Howmeh Rural District, in the Central District of Qeshm County, Hormozgan Province, Iran.",https://en.wikipedia.org/wiki/Gevarzin
Q25066749,50545276,OEID,Qeshm Oil and Energy Industries Development company (OEID; Persian: شرکت توسعه صنایع نفت و انرژی‎ Sherkat-e Toasea-ye Sanaaye-ye Naft va Energy ) is one of the subsidiaries of Oil Industries Engineering and Construction group (OIEC).,https://en.wikipedia.org/wiki/OEID
Q19903356,37560020,Iranian Central Oil Fields Company,"The Iranian Central Oil Fields Company (ICOFC, Persian:  شرکت نفت مناطق مرکزی ایران) established in 1999, is one of the five major production companies of the National Iranian Oil Company.",https://en.wikipedia.org/wiki/Iranian_Central_Oil_Fields_Company
Q6682102,22044999,Los Angeles County Superior Court,"The Superior Court of California, County of Los Angeles, is the California superior court with jurisdiction over Los Angeles County, which includes the city of Los Angeles.",https://en.wikipedia.org/wiki/Los_Angeles_County_Superior_Court
Q2577005,307028,Superior court,"In common law systems, a superior court is a court of general competence which typically has unlimited jurisdiction with regard to civil and criminal legal cases.",https://en.wikipedia.org/wiki/Superior_court
Q1057444,6953277,"Skid Row, Los Angeles",Skid Row is a neighborhood in Downtown Los Angeles.,"https://en.wikipedia.org/wiki/Skid_Row,_Los_Angeles"
Q7988096,23772592,Western Naval Command,The Western Naval Command is one of the three command–level formations of the Indian Navy.,https://en.wikipedia.org/wiki/Western_Naval_Command
Q7570170,30139335,Southern Naval Command,The Southern Naval Command is one of the three command-level formations of the Indian Navy.,https://en.wikipedia.org/wiki/Southern_Naval_Command
Q5330328,30139022,Eastern Naval Command,The Eastern Naval Command is one of the three command-level formations of the Indian Navy.,https://en.wikipedia.org/wiki/Eastern_Naval_Command
Q7649024,30122059,Susie Frances Harrison,"Susie Frances Harrison née Riley (February 24, 1859  – May 5, 1935) (a.k.a.",https://en.wikipedia.org/wiki/Susie_Frances_Harrison
Q142,5843419,France,"France (French: [fʁɑ̃s] ), officially the French Republic (French: République française), is a country primarily located in Western Europe, consisting of metropolitan France and several overseas regions and territories.",https://en.wikipedia.org/wiki/France
Q6912968,928788,"Morningside, Queensland","Morningside is a suburb in the City of Brisbane, Queensland, Australia.","https://en.wikipedia.org/wiki/Morningside,_Queensland"
Q6566410,37847503,List of Catholic churches in the United States,This is a list of notable Catholic churches and cathedrals in the United States.,https://en.wikipedia.org/wiki/List_of_Catholic_churches_in_the_United_States
Q1211313,896674,20 Million Miles to Earth,20 Million Miles to Earth (a.k.a.,https://en.wikipedia.org/wiki/20_Million_Miles_to_Earth
Q1092278,29116221,Cinderella (1997 film),"Rodgers & Hammerstein's Cinderella (also known as simply Cinderella) is a 1997 American musical fantasy television film produced by Walt Disney Television, directed by Robert Iscove and written by Robert L. Freedman.",https://en.wikipedia.org/wiki/Cinderella_(1997_film)
Q22908803,49099215,Hairspray Live!,Hairspray Live!,https://en.wikipedia.org/wiki/Hairspray_Live!
Q16240742,40138591,Cheryl Boone Isaacs,Cheryl Boone Isaacs (born 1949) is an American film marketing and public relations executive.,https://en.wikipedia.org/wiki/Cheryl_Boone_Isaacs
Q16773560,42681558,87th Academy Awards,"The 87th Academy Awards ceremony, presented by the Academy of Motion Picture Arts and Sciences (AMPAS), honored the best films of 2014 and took place on February 22, 2015, at the Dolby Theatre in Hollywood, Los Angeles beginning at 5:30 p.m. PST / 8:30 p.m. EST.",https://en.wikipedia.org/wiki/87th_Academy_Awards
Q4508,21533,Navy,"A navy, naval force, or maritime force is the branch of a nation's armed forces principally designated for naval and amphibious warfare; namely, lake-borne, riverine, littoral, or ocean-borne combat operations and related functions.",https://en.wikipedia.org/wiki/Navy
Q172771,26061,Royal Navy,The Royal Navy (RN) is the United Kingdom's naval warfare force.,https://en.wikipedia.org/wiki/Royal_Navy
Q11220,20518076,United States Navy,The United States Navy (USN) is the maritime service branch of the United States Armed Forces and one of the eight uniformed services of the United States.,https://en.wikipedia.org/wiki/United_States_Navy
Q2866472,465009,Defence mechanism,"In psychoanalytic theory, a defence mechanism (American English: defense mechanism), is an unconscious psychological mechanism that reduces anxiety arising from unacceptable or potentially harmful stimuli.Defence mechanisms may result in healthy or unhealthy consequences depending on the circumstances and frequency with which the mechanism is used.",https://en.wikipedia.org/wiki/Defence_mechanism
Q3533315,28308987,Minister of Defence (India),The Minister of Defence (Rakshā Mantri) is the head of the Ministry of Defence and a high ranking minister of the Government of India.,https://en.wikipedia.org/wiki/Minister_of_Defence_(India)
Q7480090,161064,List of Iranians,This is an alphabetic list of notable people from Iran or its historical predecessors.,https://en.wikipedia.org/wiki/List_of_Iranians
Q161205,181786,Safavid dynasty,"The Safavid dynasty (; Persian: دودمان صفوی‎, romanized: Dudmâne Safavi, pronounced [d̪uːd̪ˈmɒːne sæfæˈviː]) was one of the most significant ruling dynasties of Iran from 1501 to 1736.",https://en.wikipedia.org/wiki/Safavid_dynasty
Q8258,43079,One Thousand and One Nights,"One Thousand and One Nights (Arabic: أَلْفُ لَيْلَةٍ وَلَيْلَةٌ‎, ʾAlf Laylah wa-Laylah) is a collection of Middle Eastern folk tales compiled in Arabic during the Islamic Golden Age.",https://en.wikipedia.org/wiki/One_Thousand_and_One_Nights
Q5167260,16046633,Neil Meron,"Neil Meron (born October 26, 1955) is an American film producer known for producing the 2002 film Chicago and the 2007 film Hairspray.",https://en.wikipedia.org/wiki/Neil_Meron
Q3979635,12903300,TMZ on TV,"TMZ on TV (also known as TMZ on Fox or simply as TMZ or TMZTV) is an American syndicated entertainment and gossip news television show that premiered on September 10, 2007 (its major carriage is among Fox's owned television stations).",https://en.wikipedia.org/wiki/TMZ_on_TV
Q17306021,43100133,Shawn Holley,Shawn Chapman Holley is an American defense attorney.Holley attended UCLA and Southwestern University School of Law.,https://en.wikipedia.org/wiki/Shawn_Holley
Q6745423,52108025,Dream Team (law),"The ""Dream Team"" refers to the team of trial lawyers that represented O.J.",https://en.wikipedia.org/wiki/Dream_Team_(law)
Q2669947,3883945,O. J. Simpson murder case,The  O. J. Simpson murder case (officially The People of the State of California v. Orenthal James Simpson) was a criminal trial held in Los Angeles County Superior Court.,https://en.wikipedia.org/wiki/O._J._Simpson_murder_case
Q123737,151921,Emmy Award,"An Emmy Award, or simply Emmy, is a trophy presented at one of the numerous annual American events or competitions that each recognize achievements in a particular sector of the television industry.",https://en.wikipedia.org/wiki/Emmy_Award
Q7249824,14932322,Promises Treatment Centers,"Promises Treatment Centers is a for-profit provider of residential drug and alcohol rehabilitation with facilities in Malibu, California and West Los Angeles, California.",https://en.wikipedia.org/wiki/Promises_Treatment_Centers
Q1052836,14508187,Celebrity Rehab with Dr. Drew,"Celebrity Rehab with Dr. Drew, later called simply Rehab with Dr. Drew, is a reality television show that aired on the cable network VH1 in which many of the episodes chronicle a group of well-known people as they are treated for alcohol and drug addiction by Dr. Drew Pinsky and his staff at the Pasadena Recovery Center in Pasadena, California.",https://en.wikipedia.org/wiki/Celebrity_Rehab_with_Dr._Drew
Q260298,867884,Tawny Kitaen,"Julie E. ""Tawny"" Kitaen (born August 5, 1961) is an American actress, comedian and media personality.",https://en.wikipedia.org/wiki/Tawny_Kitaen
Q942466,6787963,Ist (island),Ist (Italian: Isto) is a small island off the Dalmatian coast of Croatia.,https://en.wikipedia.org/wiki/Ist_(island)
Q18639121,44348016,Battle of Ist,"The Battle of Ist was a naval engagement in Adriatic Sea, between the islands of Škarda and Molat, off the island of Ist, on 29 February 1944.",https://en.wikipedia.org/wiki/Battle_of_Ist
Q456083,322649,John Ross (Royal Navy officer),Sir John Ross  (24 June 1777 – 30 August 1856) was a Scottish Royal Navy officer and polar explorer.,https://en.wikipedia.org/wiki/John_Ross_(Royal_Navy_officer)
Q483325,18307757,Ellen DeGeneres,"Ellen Lee DeGeneres ( də-JEN-ər-əs; born January 26, 1958) is an American comedian, television host, actress, writer, and producer.",https://en.wikipedia.org/wiki/Ellen_DeGeneres
Q839150,1446915,The Ellen DeGeneres Show,The Ellen DeGeneres Show (often shortened to Ellen and stylized as ellen) is an American daytime television variety comedy talk show that is hosted by Ellen DeGeneres.,https://en.wikipedia.org/wiki/The_Ellen_DeGeneres_Show
Q16061212,38186289,2013 Academy Awards,"2013 Academy Awards may refer to:

85th Academy Awards, the Academy Awards ceremony which took place in 2013
86th Academy Awards, the Academy Awards ceremony which took place in 2014 honoring the best in film for 2013",https://en.wikipedia.org/wiki/2013_Academy_Awards
Q62,49728,San Francisco,"San Francisco, officially the City and County of San Francisco, is a cultural, commercial, and financial center of Northern California.",https://en.wikipedia.org/wiki/San_Francisco
Q213205,19283806,San Francisco Bay Area,"The San Francisco Bay Area, popularly referred to as the Bay Area or simply the Bay, is a populous region surrounding the San Francisco, San Pablo, and Suisun Bay estuaries in Northern California.",https://en.wikipedia.org/wiki/San_Francisco_Bay_Area
Q520118,66171677,Enrique San Francisco,"Rogelio Enrique San Francisco Cobo, better known as Quique San Francisco (10 March 1955 – 1 March 2021) was a Spanish actor and comedian.",https://en.wikipedia.org/wiki/Enrique_San_Francisco
Q1097357,24538587,Intel Core,"Intel Core are streamlined midrange consumer, workstation and enthusiast computers central processing units (CPU) marketed by Intel Corporation.",https://en.wikipedia.org/wiki/Intel_Core
Q5155738,25839957,List of Intel graphics processing units,This page contains information about Intel's GPUs (→Intel Graphics Technology) and motherboard graphics chipsets in table form.,https://en.wikipedia.org/wiki/List_of_Intel_graphics_processing_units
Q193755,23814944,United States Geological Survey,"The United States Geological Survey (USGS, formerly simply Geological Survey) is a scientific agency of the United States government.",https://en.wikipedia.org/wiki/United_States_Geological_Survey
Q7181399,3452343,Phenoxy herbicide,"Phenoxy herbicides (or ""phenoxies"") are two families of chemicals that have been developed as commercially important herbicides, widely used in agriculture.",https://en.wikipedia.org/wiki/Phenoxy_herbicide
Q3631634,2153900,Geological Survey of India,The Geological Survey of India (GSI) is a scientific agency of India.,https://en.wikipedia.org/wiki/Geological_Survey_of_India
Q8467,80756,Omar,"Omar (), also spelled Umar ; Arabic: عمر بن الخطاب‎ ʿUmar ibn al-Khaṭṭāb [ˈʕomɑr-,
 ˈʕʊmɑr ɪbn alxɑtˤˈtˤɑːb], ""Umar, Son of Al-Khattab""; c. 584 CE – 3 November 644 CE), was one of the most powerful and influential Muslim caliphs in history.",https://en.wikipedia.org/wiki/Omar
Q79948,12896,Gulf of Oman,"The Gulf of Oman or Sea of Oman (Gulf of Makran or Sea of Makran) (Arabic: خليج عمان ، خلیج مکران‎ khalīj ʿumān , khalīj makrān; Persian: دریای عمان ، دریای مکران‎ daryâ-ye omân ,daryâ-ye makrān) is a gulf that connects the Arabian Sea with the Strait of Hormuz, which then runs to the Persian Gulf.",https://en.wikipedia.org/wiki/Gulf_of_Oman
Q272290,1409237,Omani rial,"The Omani rial (Arabic: ريال‎, ISO 4217 code OMR) is the currency of Oman.",https://en.wikipedia.org/wiki/Omani_rial
Q20880657,47450551,Lindsay Lohan on screen and stage,"Lindsay Lohan is an American actress, singer, songwriter and entrepreneur who began her career as a child actor in the late 1990s.",https://en.wikipedia.org/wiki/Lindsay_Lohan_on_screen_and_stage
Q213699,4292687,79th Academy Awards,"The 79th Academy Awards ceremony, presented by the Academy of Motion Picture Arts and Sciences (AMPAS), honored the best films of 2006 and took place February 25, 2007, at the Kodak Theatre in Hollywood, Los Angeles beginning at 5:30 p.m. PST / 8:30 p.m. EST.",https://en.wikipedia.org/wiki/79th_Academy_Awards
Q42332396,7227124,List of submissions to the 79th Academy Awards for Best Foreign Language Film,The Academy of Motion Picture Arts and Sciences has invited the film industries of various countries to submit their best film for the Academy Award for Best Foreign Language Film every year since the award was created in 1956.,https://en.wikipedia.org/wiki/List_of_submissions_to_the_79th_Academy_Awards_for_Best_Foreign_Language_Film
Q9531,19344654,BBC,"The British Broadcasting Corporation (BBC) is a public service broadcaster, headquartered at Broadcasting House in Westminster, London.",https://en.wikipedia.org/wiki/BBC
Q191472,212157,BBC One,"BBC One is a British free-to-air television network and the BBC's flagship service in the United Kingdom, Isle of Man and Channel Islands.",https://en.wikipedia.org/wiki/BBC_One
Q423289,37627,BBC World Service,The BBC World Service is an international broadcaster owned and operated by the BBC.,https://en.wikipedia.org/wiki/BBC_World_Service
Q165352,448069,Kerman Province,"Kerman Province (Persian: استان کرمان‎, Ostān-e Kermān) is the largest province of the 31 provinces of Iran.",https://en.wikipedia.org/wiki/Kerman_Province
Q171714,847140,Kerman,"Kerman (Persian: كرمان‎; also romanized as Kermān, Kermun, and Kirman), also known as Carmania, is the capital city of Kerman Province, Iran.",https://en.wikipedia.org/wiki/Kerman
Q939575,448105,Sistan and Baluchestan Province,"Sistan and Baluchestan Province (Persian: استان سيستان و بلوچستان‎, romanized: Ostân-e Sîstân vä Bälűčıstân; Balochi: سیستان و بلوچستان‎, romanized: Sistân o Balučestân) is the second largest province of the 31 provinces of Iran, after Kerman Province.",https://en.wikipedia.org/wiki/Sistan_and_Baluchestan_Province
Q215366,276392,Portia de Rossi,"Portia Lee James DeGeneres (born Amanda Lee Rogers; 31 January 1973), known professionally as Portia de Rossi, is an Australian-American businesswoman, philanthropist, and former model and actress.",https://en.wikipedia.org/wiki/Portia_de_Rossi
Q2501612,594739,Portia White,"Portia May White (June 24, 1911 – February 13, 1968) was a Canadian contralto, known for becoming the first Black Canadian concert singer to achieve international fame.",https://en.wikipedia.org/wiki/Portia_White
Q1638520,716637,Geo-Force,Geo-Force (Brion Markov) is a fictional superhero character appearing in comic books published by DC Comics.,https://en.wikipedia.org/wiki/Geo-Force
Q24033460,39419916,GeForce 10 series,"The GeForce 10 series is a series of graphics processing units developed by Nvidia, initially based on the Pascal microarchitecture announced in March 2014.",https://en.wikipedia.org/wiki/GeForce_10_series
Q56196481,58208826,GeForce 20 series,The GeForce 20 series is a family of graphics processing units developed by Nvidia.,https://en.wikipedia.org/wiki/GeForce_20_series
Q7486798,2068119,Haller,Haller is a surname of English and German origin.,https://en.wikipedia.org/wiki/Haller
Q21032133,24371163,Marielle Heller,"Marielle Stiles Heller  (born October 1, 1979) is an American writer, director, and actress.",https://en.wikipedia.org/wiki/Marielle_Heller
Q2748625,4202083,Jerry Heller,"Gerald Elliot ""Jerry"" Heller (October 6, 1940 – September 2, 2016) was an American music manager and businessman.",https://en.wikipedia.org/wiki/Jerry_Heller
Q188492,383899,Seth MacFarlane,"Seth Woodbury MacFarlane (; born October 26, 1973) is an American actor, writer, producer, and singer.",https://en.wikipedia.org/wiki/Seth_MacFarlane
Q17032379,39573445,Seth MacFarlane filmography,"Seth MacFarlane is an American actor, animator, writer, producer, director, comedian, and singer.",https://en.wikipedia.org/wiki/Seth_MacFarlane_filmography
Q748485,276154,"Morningside Heights, Manhattan",Morningside Heights is a neighborhood on the West Side of Upper Manhattan in New York City.,"https://en.wikipedia.org/wiki/Morningside_Heights,_Manhattan"
Q6912982,1258359,Morningside College,"Morningside College is a private liberal arts college affiliated with the United Methodist Church and located in Sioux City, Iowa.",https://en.wikipedia.org/wiki/Morningside_College
Q3230,202898,Atmosphere of Earth,"The atmosphere of Earth is the layer of gases, commonly known as air, retained by Earth's gravity, surrounding the planet Earth and forming its planetary atmosphere.",https://en.wikipedia.org/wiki/Atmosphere_of_Earth
Q420953,1394509,Air Jordan,"Air Jordan (sometimes abbreviated AJ) is an American brand of basketball shoes, athletic, casual, and style clothing produced by Nike.",https://en.wikipedia.org/wiki/Air_Jordan
Q794,14653,Iran,"Iran (Persian: ایران‎ Irān [ʔiːˈɾɒːn] (listen)), also called Persia and officially the Islamic Republic of Iran (Persian: جمهوری اسلامی ایران‎ Jomhuri-ye Eslāmi-ye Irān (listen) [dʒomhuːˌɾije eslɒːˌmije ʔiːˈɾɒn]), is a country in Western Asia.",https://en.wikipedia.org/wiki/Iran
Q126065,347268,Iranian Revolution,"The Iranian Revolution (Persian: انقلاب ایران‎, romanized: Enqelâbe Irân, pronounced [ʔeɴɢeˌlɒːbe ʔiːɾɒːn]); locally known as the Islamic Revolution (or the 1979 Revolution) was a series of events that culminated in the overthrow of the Pahlavi dynasty under Shah Mohammad Reza Pahlavi, and the replacement of his government with an Islamic republic under the Grand Ayatollah Ruhollah Khomeini, a leader of one of the factions in the revolt.",https://en.wikipedia.org/wiki/Iranian_Revolution
Q23582386,45677854,Piracy around the Horn of Africa,"Piracy has taken place in a maritime area bounded by Suez and the Strait of Hormuz, in the region around the Horn of Africa, and waters surrounding the Arabian Peninsula; in the region of the Indian Ocean from the Red Sea through the Arabian Sea to the Gulf of Oman.",https://en.wikipedia.org/wiki/Piracy_around_the_Horn_of_Africa
Q1535009,271600,Golden Horseshoe,"The Golden Horseshoe is a secondary region of Southern Ontario, Canada, which lies at the western end of Lake Ontario, with outer boundaries stretching south to Lake Erie and north to Lake Scugog and Lake Simcoe.",https://en.wikipedia.org/wiki/Golden_Horseshoe
Q7258019,7564019,Transportation in the Klang Valley,"Transportation in the Klang Valley, which includes Kuala Lumpur – the capital city of Malaysia – consists of highly-developed intermodal infrastructure.",https://en.wikipedia.org/wiki/Transportation_in_the_Klang_Valley
Q824504,409938,Apple Worldwide Developers Conference,Apple Worldwide Developers Conference (WWDC) is a conference held annually by Apple Inc.,https://en.wikipedia.org/wiki/Apple_Worldwide_Developers_Conference
Q7957165,1917872,WWDC (FM),"WWDC (101.1 FM) is a commercial radio station licensed to Washington, D.C..",https://en.wikipedia.org/wiki/WWDC_(FM)
